2016-03-04,全銘柄日足,http://k-db.com/
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
I101,日経平均株価,東証,指数,16927.36,17042.92,16861.38,17014.78,-,-
I102,TOPIX,東証,指数,1366.73,1376.25,1360.89,1375.35,-,-
I103,JPX日経インデックス400,東証,指数,12389.05,12457.52,12329.92,12444.36,-,-
I104,東証2部株価指数,東証,指数,4255.94,4286.42,4250.47,4286.42,-,-
I105,東証マザーズ指数,東証,指数,907.02,922.60,904.83,916.33,-,-
I111,TOPIX コア 30,東証,指数,657.45,659.00,652.91,659.00,-,-
I112,TOPIX ラージ 70,東証,指数,1327.77,1337.70,1321.37,1333.43,-,-
I113,TOPIX 100,東証,指数,877.88,881.56,873.86,880.83,-,-
I114,TOPIX ミッド 400,東証,指数,1568.22,1583.39,1561.17,1582.54,-,-
I115,TOPIX 500,東証,指数,1064.97,1071.67,1060.25,1070.79,-,-
I116,TOPIX スモール,東証,指数,1602.02,1625.23,1597.31,1625.00,-,-
I117,TOPIX 1000,東証,指数,1292.03,1300.87,1286.40,1299.90,-,-
I118,TOPIX バリュー指数,東証,指数,1541.99,1556.16,1536.14,1555.60,-,-
I119,TOPIX グロース指数,東証,指数,1752.32,1760.24,1743.02,1758.88,-,-
I120,TOPIX 500 バリュー指数,東証,指数,1504.63,1517.30,1498.46,1516.52,-,-
I121,TOPIX 500 グロース指数,東証,指数,1748.34,1755.19,1738.86,1753.55,-,-
I122,TOPIX Small バリュー指数,東証,指数,1978.55,2013.91,1975.17,2013.64,-,-
I123,TOPIX Small グロース指数,東証,指数,1797.85,1818.22,1790.36,1817.97,-,-
I124,TOPIX レバレッジ(2倍)指数,東証,指数,29256.59,29655.76,29010.04,29620.53,-,-
I125,TOPIX インバース(-1倍)指数,東証,指数,4430.90,4449.48,4400.82,4403.47,-,-
I126,TOPIX ダブルインバース(-2倍)指数,東証,指数,1630.82,1644.48,1608.71,1610.66,-,-
I130,TOPIX Ex-Financials,東証,指数,1176.22,1184.37,1171.14,1183.93,-,-
I131,TOPIXアジア関連株指数,東証,指数,1560.06,1588.46,1554.97,1583.40,-,-
I132,東証マザーズCore指数,東証,指数,3554.16,3618.55,3539.79,3612.63,-,-
I133,東証REIT指数,東証,指数,1854.23,1872.95,1838.74,1872.95,-,-
I134,東証REITオフィス指数,東証,指数,1855.68,1871.54,1836.35,1871.54,-,-
I135,東証REIT住宅指数,東証,指数,2467.44,2487.95,2442.77,2487.95,-,-
I136,東証REIT商業物流等指数,東証,指数,2347.20,2377.76,2333.51,2377.76,-,-
I137,東証規模別株価指数 大型,東証,指数,1265.56,1270.86,1259.75,1269.81,-,-
I138,東証規模別株価指数 中型,東証,指数,1650.17,1666.13,1642.75,1665.23,-,-
I139,東証規模別株価指数 小型,東証,指数,2365.07,2399.33,2358.11,2399.00,-,-
I141,日経500種平均,東証,指数,1599.12,1610.06,1591.02,1606.77,-,-
I142,日経株価指数300,東証,指数,276.39,277.90,275.17,277.82,-,-
I143,TOPIX コンポジット 1500,東証,指数,1727.52,1739.20,1720.11,1738.18,-,-
I144,TOPIX コンポジット,東証,指数,1728.21,1739.89,1720.85,1738.89,-,-
I145,東証2部 コンポジット株価指数,東証,指数,2271.87,2288.14,2268.95,2288.14,-,-
I146,東証マザーズ コンポジット株価指数,東証,指数,2729.00,2775.36,2722.86,2757.89,-,-
I147,東証配当フォーカス100指数,東証,指数,1567.53,1578.70,1560.31,1577.63,-,-
I150,TOPIX-17 食品,東証,指数,311.23,312.38,307.75,311.96,-,-
I151,TOPIX-17 エネルギー資源,東証,指数,102.84,107.46,102.45,107.14,-,-
I152,TOPIX-17 建設・資材,東証,指数,211.22,213.60,210.26,213.50,-,-
I153,TOPIX-17 素材・化学,東証,指数,179.57,181.73,178.97,181.45,-,-
I154,TOPIX-17 医薬品,東証,指数,209.77,209.89,205.16,206.82,-,-
I155,TOPIX-17 自動車・輸送機,東証,指数,200.02,202.12,198.79,201.84,-,-
I156,TOPIX-17 鉄鋼・非鉄,東証,指数,179.62,184.02,178.88,183.44,-,-
I157,TOPIX-17 機械,東証,指数,264.23,269.30,264.02,268.66,-,-
I158,TOPIX-17 電機・精密,東証,指数,131.23,133.40,130.83,132.96,-,-
I159,TOPIX-17 情報通信・サービスその他,東証,指数,170.49,170.60,168.34,169.89,-,-
I160,TOPIX-17 電力・ガス,東証,指数,80.16,81.64,79.53,81.17,-,-
I161,TOPIX-17 運輸・物流,東証,指数,169.36,170.08,167.88,170.08,-,-
I162,TOPIX-17 商社・卸売,東証,指数,270.85,274.69,269.98,274.69,-,-
I163,TOPIX-17 小売,東証,指数,183.04,183.58,181.61,183.58,-,-
I164,TOPIX-17 銀行,東証,指数,99.91,101.00,99.22,100.43,-,-
I165,TOPIX-17 金融 (除く銀行),東証,指数,113.97,114.83,113.06,114.07,-,-
I166,TOPIX-17 不動産,東証,指数,300.12,301.91,298.89,301.53,-,-
I201,業種別株価指数 水産・農林業,東証,指数,440.61,442.33,432.25,436.07,-,-
I202,業種別株価指数 鉱業,東証,指数,266.78,284.69,265.68,282.88,-,-
I203,業種別株価指数 建設業,東証,指数,1033.42,1040.68,1025.03,1040.26,-,-
I204,業種別株価指数 食料品,東証,指数,1816.28,1823.56,1795.83,1820.97,-,-
I205,業種別株価指数 繊維製品,東証,指数,637.45,648.61,635.99,648.09,-,-
I206,業種別株価指数 パルプ・紙,東証,指数,425.22,432.99,424.99,432.51,-,-
I207,業種別株価指数 化学,東証,指数,1333.25,1348.33,1328.22,1345.87,-,-
I208,業種別株価指数 医薬品,東証,指数,2713.49,2715.04,2653.85,2675.41,-,-
I209,業種別株価指数 石油石炭製品,東証,指数,884.46,912.73,881.18,911.18,-,-
I210,業種別株価指数 ゴム製品,東証,指数,3084.64,3130.15,3071.40,3115.14,-,-
I211,業種別株価指数 ガラス土石製品,東証,指数,838.98,860.80,838.98,859.05,-,-
I212,業種別株価指数 鉄鋼,東証,指数,458.55,470.70,456.03,468.39,-,-
I213,業種別株価指数 非鉄金属,東証,指数,826.14,845.83,823.45,843.49,-,-
I214,業種別株価指数 金属製品,東証,指数,1099.43,1115.61,1095.28,1114.38,-,-
I215,業種別株価指数 機械,東証,指数,1340.75,1366.51,1339.69,1363.22,-,-
I216,業種別株価指数 電気機器,東証,指数,1634.28,1662.25,1628.78,1656.59,-,-
I217,業種別株価指数 輸送用機器,東証,指数,2662.33,2689.40,2645.41,2686.35,-,-
I218,業種別株価指数 精密機器,東証,指数,4472.44,4525.48,4442.96,4514.84,-,-
I219,業種別株価指数 その他製品,東証,指数,1681.28,1691.88,1671.46,1691.88,-,-
I220,業種別株価指数 電気・ガス業,東証,指数,484.08,492.98,480.27,490.16,-,-
I221,業種別株価指数 陸運業,東証,指数,2069.26,2073.12,2045.31,2073.12,-,-
I222,業種別株価指数 海運業,東証,指数,295.19,304.43,294.19,301.65,-,-
I223,業種別株価指数 空運業,東証,指数,301.08,305.10,298.97,304.85,-,-
I224,業種別株価指数 倉庫運輸関連,東証,指数,1503.12,1520.31,1494.12,1519.30,-,-
I225,業種別株価指数 情報・通信業,東証,指数,2912.39,2914.79,2860.45,2887.80,-,-
I226,業種別株価指数 卸売業,東証,指数,1114.69,1130.52,1111.11,1130.52,-,-
I227,業種別株価指数 小売業,東証,指数,1053.64,1056.77,1045.44,1056.77,-,-
I228,業種別株価指数 銀行業,東証,指数,155.35,157.05,154.29,156.17,-,-
I229,業種別株価指数 証券商品先物,東証,指数,360.39,368.55,359.19,365.02,-,-
I230,業種別株価指数 保険業,東証,指数,814.99,814.99,801.39,807.61,-,-
I231,業種別株価指数 その他金融業,東証,指数,586.55,594.87,583.48,592.06,-,-
I232,業種別株価指数 不動産業,東証,指数,1434.83,1443.39,1428.95,1441.56,-,-
I233,業種別株価指数 サービス業,東証,指数,1585.45,1590.65,1575.85,1590.22,-,-
I301,JASDAQ INDEX,JQ,指数,105.87,107.10,105.87,107.05,-,-
I302,JASDAQ INDEX スタンダード,JQ,指数,226.60,229.25,226.60,229.12,-,-
I303,JASDAQ INDEX グロース,JQ,指数,196.77,198.77,195.62,198.77,-,-
I305,JASDAQ-TOP20,JQ,指数,3542.54,3622.34,3541.62,3612.46,-,-
I306,日経ジャスダック平均株価,JQ,指数,2392.24,2405.71,2391.38,2404.66,-,-
F101-1603,日経平均先物 2016年03月限,大証日中,先物,16910,17050,16860,17000,60426,1024387340
F101-1606,日経平均先物 2016年06月限,大証日中,先物,16800,16920,16730,16870,9989,167896270
F101-1609,日経平均先物 2016年09月限,大証日中,先物,16770,16840,16770,16830,3,50440
F101-1612,日経平均先物 2016年12月限,大証日中,先物,16590,16750,16590,16700,10,166625
F101-1703,日経平均先物 2017年03月限,大証日中,先物,16560,16720,16560,16630,30,499970
F101-1706,日経平均先物 2017年06月限,大証日中,先物,16530,16530,16530,16530,1,16530
F101-1712,日経平均先物 2017年12月限,大証日中,先物,-,-,-,-,0,0
F101-1806,日経平均先物 2018年06月限,大証日中,先物,-,-,-,-,0,0
F101-1812,日経平均先物 2018年12月限,大証日中,先物,-,-,-,-,0,0
F101-1906,日経平均先物 2019年06月限,大証日中,先物,-,-,-,-,0,0
F101-1912,日経平均先物 2019年12月限,大証日中,先物,-,-,-,-,0,0
F101-2006,日経平均先物 2020年06月限,大証日中,先物,-,-,-,-,0,0
F101-2012,日経平均先物 2020年12月限,大証日中,先物,-,-,-,-,0,0
F102-1603,日経225mini先物 2016年03月限,大証日中,先物,16920,17050,16855,17000,444966,7543843140
F102-1604,日経225mini先物 2016年04月限,大証日中,先物,16790,16920,16730,16880,7535,126793970
F102-1605,日経225mini先物 2016年05月限,大証日中,先物,16800,16905,16745,16865,304,5116275
F102-1606,日経225mini先物 2016年06月限,大証日中,先物,16800,16920,16730,16870,24308,409049074
F102-1607,日経225mini先物 2016年07月限,大証日中,先物,16770,16895,16750,16845,57,958205
